"","n_raw_reads","n_mapped_reads","expected_umis","ci_95_low","ci_95_high","signal_umis","dataset"
"167",1659999576.44721,1367218319.9671,365560505.580149,364788779.581292,366333864.1978,177574671,"tenx_nextgem"
"168",1669999573.89569,1375454574.90666,366271491.313879,365485242.270698,367059431.772981,177920039,"tenx_nextgem"
"169",1679999571.34417,1383690829.84622,366976700.972901,366175750.859829,367779403.034546,178262602,"tenx_nextgem"
"170",1689999568.79265,1391927084.78578,367676848.221708,366861019.227897,368494491.463728,178602705,"tenx_nextgem"
"171",1699999566.24112,1400163339.72534,368371992.844404,367541107.395969,369204756.642267,178940379,"tenx_nextgem"
"172",1709999563.6896,1408399594.6649,369062193.637973,368216074.417648,369910257.145321,179275651,"tenx_nextgem"
"173",1719999561.13808,1416635849.60446,369747508.433087,368885978.399718,370611050.562448,179608549,"tenx_nextgem"
"174",1729999558.58655,1424872104.54402,370427994.114398,369550876.521973,371307193.51834,179939102,"tenx_nextgem"
"175",1739999556.03503,1433108359.48358,371104108.227291,370211226.641992,371999143.279226,180267531,"tenx_nextgem"
"176",1749999553.48351,1441344614.42314,371774491.666106,370865669.989692,372685540.44766,180593177,"tenx_nextgem"
"177",1759999550.93199,1449580869.3627,372440210.689728,371515273.169841,373367450.966668,180916556,"tenx_nextgem"
"178",1769999548.38046,1457817124.30227,373101318.601229,372160089.851301,374044927.809417,181237696,"tenx_nextgem"
"179",1779999545.82894,1466053379.24183,373757867.852516,372800172.86826,374718023.08156,181556621,"tenx_nextgem"
"180",1789999543.27742,1474289634.18139,374409910.061718,373435574.237167,375386788.039091,181873357,"tenx_nextgem"
"181",1799999540.72589,1482525889.12095,375057496.030163,374066345.173206,376051273.105795,182187929,"tenx_nextgem"
"182",1809999538.17437,1490762144.06051,375700675.758921,374692536.10661,376711527.890027,182500360,"tenx_nextgem"
"183",1819999535.62285,1498998399.00007,376339498.464947,375314196.698106,377367601.201543,182810674,"tenx_nextgem"
"184",1829999533.07133,1507234653.93963,376974012.596825,375931375.854466,378019541.067427,183118896,"tenx_nextgem"
"185",1839999530.5198,1515470908.87919,377604265.850131,376544121.743278,378667394.748041,183425048,"tenx_nextgem"
"186",1849999527.96828,1523707163.81875,378230305.18242,377152481.807779,379311208.752162,183729153,"tenx_nextgem"
"187",1859999525.41676,1531943418.75831,378852176.827854,377756502.780759,379951028.852319,184031233,"tenx_nextgem"
"188",1869999522.86523,1540179673.69787,379469926.311475,378356230.698668,380586900.099233,184331311,"tenx_nextgem"
"189",1879999520.31371,1548415928.63744,380084507.364196,378952619.81218,381219775.733135,184629850,"tenx_nextgem"
"190",1889999517.76219,1556652183.577,380695133.74768,379544884.42218,381848869.020601,184926468,"tenx_nextgem"
"191",1899999515.21067,1564888438.51656,381301796.646771,380133016.26105,382474170.636657,185221160,"tenx_nextgem"
"192",1909999512.65914,1573124693.45612,381904538.894177,380717058.720141,383095722.892697,185513948,"tenx_nextgem"
"193",1919999510.10762,1581360948.39568,382503402.675316,381297054.554342,383713567.442057,185804852,"tenx_nextgem"
"194",1929999507.5561,1589597203.33524,383099514.094281,381874130.442273,384328829.840596,186094419,"tenx_nextgem"
"195",1939999505.00458,1597833458.2748,383691965.493223,382447379.320966,384940601.882123,186382209,"tenx_nextgem"
"196",1949999502.45305,1606069713.21436,384280680.842687,383016725.761706,385548806.97506,186668183,"tenx_nextgem"
"197",1959999499.90153,1614305968.15392,384865699.801709,383582210.033281,386153484.206181,186952362,"tenx_nextgem"
"198",1969999497.35001,1622542223.09348,385447061.440242,384143871.824715,386754672.063882,187234764,"tenx_nextgem"
"199",1979999494.79848,1630778478.03304,386024804.250291,384701750.255955,387352408.449741,187515408,"tenx_nextgem"
"200",1989999492.24696,1639014732.9726,386598966.156784,385255883.888582,387946730.689566,187794313,"tenx_nextgem"
"201",1999999489.69544,1647250987.91216,387169584.528206,385806310.736077,388537675.544368,188071497,"tenx_nextgem"
"202",0,0,0,0,0,0,"leukopak"
"203",9999998.97421043,7120737.04054881,6380218.8819529,6230824.97641844,6533194.74318267,4023539,"leukopak"
"204",19999997.9484209,14241474.0810976,12081469.006012,11930347.1920421,12234505.0813432,7618902,"leukopak"
"205",29999996.9226313,21362211.1216464,17255201.6950779,17122297.9544222,17389137.0381697,10881599,"leukopak"
"206",39999995.8968417,28482948.1621952,22003829.1798225,21892161.0622131,22116066.8971371,13876213,"leukopak"
"207",49999994.8710522,35603685.202744,26399845.0477664,26306642.8726077,26493377.4302228,16648460,"leukopak"
"208",59999993.8452626,42724422.2432928,30496714.3449852,30417928.0746171,30575704.6817311,19232057,"leukopak"
"209",69999992.819473,49845159.2838416,34335526.8743354,34267433.8131873,34403755.243689,21652917,"leukopak"
"210",79999991.7936835,56965896.3243904,37948067.0380351,37887736.1198932,38008494.0247219,23931083,"leukopak"
"211",89999990.7678939,64086633.3649393,41360152.1075411,41305455.5229484,41414921.1212193,26082836,"leukopak"
"212",99999989.7421043,71207370.4054881,44592265.3142208,44541728.0732828,44642859.8949351,28121095,"leukopak"
"213",109999988.716315,78328107.4460369,47660461.7703439,47613081.8146184,47707888.8740406,30055983,"leukopak"
"214",119999987.690525,85448844.4865857,50582863.6975847,50537958.5666789,50627808.7286138,31898929,"leukopak"
"215",129999986.664736,92569581.5271345,53370091.6893611,53327186.524711,53413031.3739864,33656631,"leukopak"
"216",139999985.638946,99690318.5676833,56034000.0230993,55992752.6912248,56075277.7400202,35336564,"leukopak"
"217",149999984.613156,106811055.608232,58583430.1229979,58543583.6988456,58623303.6677571,36944304,"leukopak"
"218",159999983.587367,113931792.648781,61027150.023426,60988503.4579528,61065821.078056,38485380,"leukopak"
"219",169999982.561577,121052529.68933,63372993.9199599,63335384.10169,63410626.0716924,39964733,"leukopak"
"220",179999981.535788,128173266.729879,65627385.5140202,65590676.2310203,65664115.3421881,41386414,"leukopak"
"221",189999980.509998,135294003.770427,67796509.4810091,67760584.48968,67832453.5188829,42754322,"leukopak"
"222",199999979.484209,142414740.810976,69885447.1416297,69850205.6696425,69920706.3939703,44071663,"leukopak"
"223",209999978.458419,149535477.851525,71899330.9135853,71864684.6148055,71933993.915507,45341673,"leukopak"
"224",219999977.432629,156656214.892074,73842695.5633704,73808566.3549381,73876840.5532076,46567212,"leukopak"
"225",229999976.40684,163776951.932623,75719461.0661725,75685779.51815,75753157.6030963,47750751,"leukopak"
"226",239999975.38105,170897688.973171,77533333.1917533,77500037.2763785,77566643.4118693,48894628,"leukopak"
"227",249999974.355261,178018426.01372,79287762.8781211,79254796.9643897,79320742.5039748,50001019,"leukopak"
"228",259999973.329471,185139163.054269,80985937.6850767,80953251.7090702,81018636.8584904,51071935,"leukopak"
"229",269999972.303682,192259900.094818,82630738.7572021,82598287.5238333,82663202.7400187,52109191,"leukopak"
"230",279999971.277892,199380637.135367,84224885.5025872,84192628.0896308,84257155.2745911,53114503,"leukopak"
"231",289999970.252102,206501374.175915,85770870.328352,85738769.5722063,85802983.1030811,54089443,"leukopak"
"232",299999969.226313,213622111.216464,87271114.2606131,87239136.3092497,87303103.9336579,55035538,"leukopak"
"233",309999968.200523,220742848.257013,88727804.9275502,88695918.8491399,88759702.4689681,55954167,"leukopak"
"234",319999967.174734,227863585.297562,90142984.6932248,90111162.132239,90174818.4922788,56846618,"leukopak"
"235",329999966.148944,234984322.338111,91518563.3514915,91486778.2251665,91550359.5208796,57714095,"leukopak"
"236",339999965.123155,242105059.378659,92856329.414144,92824557.6433348,92888112.05972,58557727,"leukopak"
"237",349999964.097365,249225796.419208,94157960.1838322,94126179.4538566,94189751.6442422,59378570,"leukopak"
"238",359999963.071576,256346533.459757,95425058.8920423,95393248.440238,95456879.9515664,60177637,"leukopak"
"239",369999962.045786,263467270.500306,96659153.2896841,96627293.7153199,96691023.368663,60955891,"leukopak"
"240",379999961.019996,270588007.540855,97861574.7172825,97829647.8123409,97893512.0416345,61714170,"leukopak"
"241",389999959.994207,277708744.581403,99033630.3333279,99001618.9302143,99065652.0870796,62453301,"leukopak"
"242",399999958.968417,284829481.621952,100176555.076185,100144442.912496,100208677.536912,63174060,"leukopak"
"243",409999957.942628,291950218.662501,101291519.383309,101259290.979911,101323758.044234,63877187,"leukopak"
"244",419999956.916838,299070955.70305,102379629.749465,102347270.301153,102411999.428963,64563379,"leukopak"
"245",429999955.891049,306191692.743599,103441933.208908,103409428.486556,103474448.14848,65233296,"leukopak"
"246",439999954.865259,313312429.784148,104479457.341768,104446793.604854,104512131.293641,65887587,"leukopak"
"247",449999953.839469,320433166.824696,105493181.290249,105460345.207415,105526027.596911,66526869,"leukopak"
"248",459999952.81368,327553903.865245,106483927.902518,106450906.480742,106516959.567648,67151661,"leukopak"
"249",469999951.78789,334674640.905794,107452544.136729,107419324.657736,107485773.888862,67762497,"leukopak"
"250",479999950.762101,341795377.946343,108399834.791959,108366404.754872,108433275.141903,68359884,"leukopak"
"251",489999949.736311,348916114.986892,109326432.436613,109292779.50623,109360095.72925,68944221,"leukopak"
"252",499999948.710522,356036852.02744,110233174.414218,110199286.374171,110267072.875378,69516038,"leukopak"
"253",509999947.684732,363157589.067989,111120770.226245,111086634.937162,111154916.0046,70075780,"leukopak"
"254",519999946.658943,370278326.108538,111989876.905215,111955482.266842,112024282.110209,70623862,"leukopak"
"255",529999945.633153,377399063.149087,112841084.160062,112806418.076056,112875760.897163,71160656,"leukopak"
"256",539999944.607363,384519800.189636,113675056.166531,113640106.513721,113710016.567996,71686582,"leukopak"
"257",549999943.581574,391640537.230184,114492440.802241,114457195.401298,114527697.056485,72202047,"leukopak"
